title,link,description,provider
LEGO MINDSTORMS EV3,https://stepik.org/course/86731,////////////////////////////////////////////////////////////////LEGO MINDSTORMS EV3 /////////////////////////////////////////////////////////////////,Stepik
Введение в Memory Studies,https://stepik.org/course/124408,"<br>Этот курс посвящён изучению «памяти»: роли, которую она играет в нашей культуре и способах её функционирования в пространстве социальных взаимодействий. Слушатели познакомятся с главными этапами становления этого научного направления, базовыми текстами, ключевыми темами в изучении памяти, современными дискуссиями и новыми подходами.<br>",Stepik
MS Word с нуля. Часть 2,https://www.udemy.com/course/ms-word-part-two/,MS Word с нуля. Часть 2,Udemy
MS Word с нуля. Часть 1,https://www.udemy.com/course/ms-word-part-1/,MS Word с нуля. Часть 1,Udemy
MS Powerpoint с нуля,https://www.udemy.com/course/ms-powerpoint-beginner/,MS Powerpoint с нуля,Udemy
MS Excel с нуля,https://www.udemy.com/course/ms-excel-beginner/,MS Excel с нуля,Udemy
ROMANTICISM: направление в произведении Уильяма Блейка,https://stepik.org/course/97332,"▌Данный курс предлагает вам ознакомление с выдающимся произведением английской литературы Songs of Innocence and of Experience в рамках его определяющего литературного течения - романтизма.
▌Проект рассчитан на то, чтобы обучение английскому языку и литературе способствовало получению ценных знаний и культурному эстетическому приобщению в увлекательном формате: красочном и мультимедийном.
▌Онлайн-курс может использоваться в смешанном обучении (иностранный язык + литература), кроме того, может использоваться факультативом для обучающихся.",Stepik
"Все о криптовалютах (BTC, ETH, DOGE, NFT)",https://stepik.org/course/129056,"🏆 Это легендарный курс!!! 🏆


❓️Здесь вы сможете узнать очень многое о крипте, а также применить это на практике.❓️

🚀Приятного прохождения!!!🚀",Stepik
Решение текстовых задач с помощью Excel,https://stepik.org/course/91584,"1. Теоретическая часть ( что такое задача, этапы решения задач в табличном процессоре, интерфейс и основные возможности Excel)
2. Практические задания ( установление соответствий, собирание пазла, итоговый тест)",Stepik
Демоверсия курса «Frontend» школы karpov.courses,https://stepik.org/course/123508,"8 уроков по frontend-разработке, которые помогут прокачаться в важных темах, получить инсайты от фронтендеров из топовых компаний и ознакомиться с форматом обучения в полной версии курса.",Stepik
Профессия «Android Разработчик»,https://stepik.org/course/57365,"9 из 10 человек пользуются смартфонами под управлением операционной системы Android! Не удивительно, что популярность разработки для этой ОС постоянно растёт.",Stepik
Процессор электронных таблиц Microsoft Excel (минимум),https://stepik.org/course/85346,"Абсолютно элементарные и совершенно минимальные знания по Microsoft Excel, для тех, чьи познания в табличном процессоре меньше стартовых.",Stepik
CHINESE HSK2,https://stepik.org/course/49866,"Авторский курс по подготовке к сдаче китайского языка уровня HSK2, HSK3",Stepik
Разработка веб-приложений на Node.js,https://stepik.org/course/100438,"Авторский курс познакомит слушателей с платформой Node.js. Он будет интересен разработчикам, которые имеют представление о JavaScript, но только начинают знакомство с разработкой серверных приложений на этом языке.
По завершении курса слушатели будут знать, как устроен Node.js, как работают приложения на этой платформе; смогут применять полученные навыки для создания серверной части несложных веб-приложений.",Stepik
Passive voice,https://stepik.org/course/128238,"Активный залог (Active Voice) - это грамматическая конструкция, которая показывает, что действие в предложении выполняется подлежащим.",Stepik
Анализ финансовых данных в EXCEL,https://stepik.org/course/100233,Анализ данных в Excel предполагает сама конструкция табличного процессора. Очень многие средства программы подходят для реализации этой задачи. Excel позиционирует себя как лучший универсальный программный продукт в мире по обработке аналитической информации,Stepik
Microsoft Excel для успешного прохождения собеседований,https://www.udemy.com/course/microsoft-excel-start/,Microsoft Excel для успешного прохождения собеседований,Udemy
basicenglish,https://stepik.org/course/53897,английский язык,Stepik
Основы робототехники на платформе Lego Education WeDo,https://stepik.org/course/55442,"Аннотация курса: входе курса обучающиеся изучат основы робототехники, подробно изучат состав набора «Lego Education WeDo», построят и запрограммируют свои модели роботов, увидят их работу в действии;
3. Описание курса: Базовый набор Lego Перворобот 9580 предназначен для детей младшего школьного возраста. Для создания курса был использован конструктор «Lego Education WeDo», из которого собрали и запрограммировали модели. На освоение всего курса обучающийся потратит 70 минут. Курс состоит из семи занятий, каждое занятие дополняет другое. На первом занятии обучающийся заберет состав набора «Lego Education WeDo». Второе занятие посвящено изучению темы «Вращение», способы передачи вращения. На третьем занятии, опираясь на знания, полученные на прошлом занятии, обучающиеся создадут проект "" Танцующие птицы"". На четвертом изучат тему ""Особенные шестерёнки"". На пятом занятии, обучающие создадут проект ""Обезьянка-барабанщица"", также опираясь за знания, полученные ранее. На шестом занятии обучающие изучат тему датчиков, а на седьмом заключительном применят эти знания, собрав проект ""Голодный аллигатор"".
4. Цель курса: обучение основам робототехники на платформе Lego Education WeDo;
5. Уровень: для начинающих;
6. Версия курса: on-line;
7. Материал модуля курса: видеоматериал;
8. Необходимое ПО и оборудование: любой ПК или планшет, набор «Lego Education WeDo», программа «Lego Education WeDo»: 9. Продолжительность курса: 70 минут",Stepik
Онлайн-обучение основам робототехники на базе конструктора Lego-,https://stepik.org/course/55443,"Аннотация курса: входе курса обучающиеся изучат основы робототехники, подробно изучат состав набора «Lego Education WeDo», построят и запрограммируют свои модели роботов, увидят их работу в действии;
3. Описание курса: Базовый набор Lego Перворобот 9580 предназначен для детей младшего школьного возраста. Для создания курса был использован конструктор «Lego Education WeDo», из которого собрали и запрограммировали модели. На освоение всего курса обучающийся потратит 70 минут. Курс состоит из семи занятий, каждое занятие дополняет другое. На первом занятии обучающийся заберет состав набора «Lego Education WeDo». Второе занятие посвящено изучению темы «Вращение», способы передачи вращения. На третьем занятии, опираясь на знания, полученные на прошлом занятии, обучающиеся создадут проект "" Танцующие птицы"". На четвертом изучат тему ""Особенные шестерёнки"". На пятом занятии, обучающие создадут проект ""Обезьянка-барабанщица"", также опираясь за знания, полученные ранее. На шестом занятии обучающие изучат тему датчиков, а на седьмом заключительном применят эти знания, собрав проект ""Голодный аллигатор"".
4. Цель курса: обучение основам робототехники на платформе Lego Education WeDo;
5. Уровень: для начинающих;
6. Версия курса: on-line;
7. Материал модуля курса: видеоматериал;
8. Необходимое ПО и оборудование: любой ПК или планшет, набор «Lego Education WeDo», программа «Lego Education WeDo»: 9. Продолжительность курса: 70 минут;",Stepik
Введение в арбитраж трафика и CPA маркетинг,https://stepik.org/course/52116,"Арбитраж трафика – вид интернет-маркетинга, когда прибыль извлекается из покупки трафика у рекламных систем и продажи его рекламодателям в виде целевых действий.

Чтобы зарабатывать в арбитраже вам потребуется только компьютер с интернетом и мотивация к работе.",Stepik
AEROквантум,https://stepik.org/course/70938,"Аэроквантум - учебный модуль освоения законов физики и аэродинамики, основ пилотирования квадрокоптеров, программирования автопилота, сборки электросхем собственных летательных аппаратов.",Stepik
Работа с базами данных в СУБД Microsoft Access,https://stepik.org/course/110186,"База данных — это инструмент для сбора и у организатора сведений. В базах данных могут храниться сведения о товарах, товарах, заказах и других данных.
В курсе изложены основные понятия, используемые при работе с базами данных и
работа с базами данных в СУБД Access версии 2010. Описаны разработка таблиц, создание запросов на выборку и изменение данных, перекрестных запросов. Рассмотрено создание форм, отчетов и главной формы.",Stepik
Программирование на Python,https://stepik.org/course/94214,Базовые знания языка программирования Python для начинающих.,Stepik
Основы работы в векторном графическом редакторе Illustrator,https://stepik.org/course/107168,Базовые навыки работы в векторном графическом редакторе Adobe Illustrator. Создание документа. Создание простейших фигур. Панель управления и интерфейс программы.,Stepik
Обращение с командами в Minecraft,https://stepik.org/course/4948,Базовые уроки по командам в самой популярной песочнице.,Stepik
Информационная безопасность,https://stepik.org/course/113883,Базовый курс об основах информационной безопасности для студентов средне профессиональных образовательных учреждений.,Stepik
Администрирование Jira,https://stepik.org/course/130637,"Базовый курс по администрированию Jira.
Я расскажу о том, что такое Jira, как она устроена и как ее администрировать.",Stepik
Разработка мобильных приложений в AppInventor,https://stepik.org/course/87635,Базовый курс по разработке мобильных приложений для мобильной операционной системы Android при помощи средств платформы App Inventor,Stepik
Базовый курс по Robot Operating System (ROS),https://stepik.org/course/102239,Базовый курс по Robot Operating System (ROS) + Python + Linux,Stepik
"ПИ 21_ Sony Vegas Pro что это такое, и с чем его едят ?",https://stepik.org/course/106945,"Базовый курс по Sony Vegas Pro 
Сертификат по окончанию курса выдается .",Stepik
Demo Алгоритмы и структуры данных,https://stepik.org/course/137527,Базовый уровень,Stepik
"Вводные занятия по курсу ""Алгоритмы и структуры данных""",https://stepik.org/course/148256,Базовый уровень,Stepik
Курс от Copterexpress,https://stepik.org/course/576,Беспилотные летательные системы,Stepik
Основы PHP,https://stepik.org/course/52314,Бесплатные практические уроки по программированию на PHP. Программа разработана создателями образовательной платформы Hexlet и включает в себя 11 интерактивных модулей.,Stepik
"ADVANCE - Вводный тренинг ""Искусство детской мотивации""",https://stepik.org/course/109131,"Бесплатные уроки курса по мотивации детей.
Вы изучите темы: Основы мотивации, Экология отношений в семье, Ребёнок и гаджеты. 
Вы узнаете, как с помощью правильно настроенной деткой
мотивации открыть потайную дверь к счастливому родительству.",Stepik
Объектно-ориентированное Программирование в Python(Начало),https://stepik.org/course/171825,"Бесплатный курс по объектно-ориентированному программированию на языке Python.
После прохождения курса вы будете знать и применять концепцию ООП в своих проектах.
Научитесь применять популярные шаблоны проектирования,участвующие при разработке.
Разберём важные особенности , которые интересуют ваших будущих работодателей на собеседовании
После курса с полной уверенностью можете назвать себя “Junior” разработчик
Смело искать вакансии и трудоустраиваться Курс находится всё еще в стадии разработки.",Stepik
Kotlin c нуля. Основы программирования для новичков.,https://stepik.org/course/134069,"Бесплатный курс по Kotlin для начинающих. Комфортный вход в разработку в целом, а также в мобильную Android разработку в частности. Через видео уроки и тесты для закрепления материала с практикой в обучающем боте.",Stepik
Введение в тестирование. Women In Tech + TestIT + ПРОСТО,https://stepik.org/course/73926,Бесплатный курс про тестирование и обеспечение качества ПО от некоммерческой организации Women In Tech при поддержке молодежного пространства Просто.,Stepik
Школа проектов от Geek Teachers,https://stepik.org/course/55889,"Бесплатный курс, который прокачает ваш проект от простой идеи до продуманного решения, научит презентовать его перед публикой и планировать его развитие.

Подходит для тех, кто только планирует создать свой проект в области образования, социальной сферы или бизнеса или уже запустил и развивает его.",Stepik
"Основы программирования: Python, C++, JavaScript",https://stepik.org/course/100019,"Бесплатный мини-курс по основам программирования для новичков. Рассматривает 3 языка программирования: Python, C++ и JavaScript. В каждом уроке видео, презентация, тесты и задания по программированию.",Stepik
Frontend Development / NAP School,https://stepik.org/course/65555,Бесплатный оффлайн-курс от компании Napoleon IT в Челябинске. Курс реализуется совместно с Челябинским радиотехническим техникумом.,Stepik
Тестирование мобильных приложений,https://stepik.org/course/167767,"Бета-версия курса...
Буду рад вашим замечаниям и пожеланиям по улучшению курса. 
В платной версии планируется сделать видеоуроки, домашние работы и их проверки. А так же общий чат участников по группам. 

Так же будут курсы по:
1. Основы тестирования
2. Тестирование API
3. Основы работы с SQL
4. Тестирование мобильных приложений - этот курс !
5. Инструменты тестировщика
6. Автоматизация тестирования на Python
7. Английский для тестировщика",Stepik
Изучение Blender 3D,https://stepik.org/course/130885,Блендер для чайников :),Stepik
homework #0,https://stepik.org/course/5724,Буквы.Звуки.Фонетика.,Stepik
Black Star Burger,https://stepik.org/course/4971,Бургеры Блэк Стар САМЫЕ СОЧНЫЕ МОЩНЫЕ БУРГЕРЫ В МИРЕ!,Stepik
Буткемп по искусственному интеллекту «AI-ARROW»,https://stepik.org/course/124175,"Буткемп по искусственному интеллекту «AI-ARROW» — это бесплатный онлайн-интенсив, который поможет пройти путь от первой программы на языке Python до международных соревнований по искусственному интеллекту. Он предназначен для учащихся 8 - 11 классов и наставников, но пройти его может любой желающий. 

Буткемп - не просто онлайн-курс. Это сообщество людей, которые увлечены искусственным интеллектом, применяют его на практике и готовы делиться знаниями и общаться. Приглашаем вас учиться через общение!",Stepik
Dart тілінің негіздері,https://stepik.org/course/127373,"Бұл жинақ толық емес — бұл мысал арқылы үйренуді ұнататын адамдар үшін қысқаша кіріспе.Курсты кез келген бос уақытта өтуге болады, ол қатаң кестені қажет етпейді, өйткені сізге әрқашан тәлімгерге хабарласып, сұрағыңызға жауап алуға мүмкіндігіңіз бар.",Stepik
Документы и презентации в LaTeX,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=136626,latex читается латех научная издательская система на этом курсе вы узнаете как оформить ваши идеи в виде красивого профессионально сверстанного текста или слайдов презентации система latex стандарт в научном мире лучшие математические физические и экономические журналы издаются в latex и рекомендуют авторам использовать его для подготовки рукописей latex не очень прост в освоении но обладает массой преимуществ перед популярными текстовыми процессорами и редакторами презентаций высококачественная верстка текст выглядит как в книжке удобная работа со сложными математическими формулами отличная кроссплатформенная совместимость автоматизация многих рутинных процессов нумерации формул рисунков таблиц разделов документа перекрестных ссылок создания колонтитулов оформления стилей заголовков и т п огромное сообщество пользователей и разработчиков пакетырасширения на все случаи жизни latex облегчает жизнь всем кому приходится оформлять эссе рефераты курсовые и дипломные работы диссертации а также слайды презентаций на их основе пользователи освоившие latex вспоминают верстку сложных документов в word и создание больших презентаций в powerpoint как страшный сон,Онлайн-образование в НИУ ВШЭ
History of physics,https://stepik.org/course/104983,Бұл курс физика тарихында аттарын алтын әріптермен жазып кеткен атақты физиктер жайлы өтетін боламыз .,Stepik
active and passive voice,https://stepik.org/course/148153,"Бұл модульда сіз active және passive voice туралы ақпарат біліп, тапсырма орындай аласыз.",Stepik
LEARN EANGLISH,https://stepik.org/course/96640,Быстро и эффективно!,Stepik
CS-Cart Free - курс для разработчиков. Базовый уровень,https://stepik.org/course/127176,"Быстро научим качественно разрабатывать под CS-Cart.
Вы избежите ошибок «новичка» в платформе, сэкономите время на поиске по документации.
Это не обычный курс по программированию. Вы получите выжимку из нашей экспертизы и опыта, как разрабатывать под CS-Cart наиболее эффективно и с наименьшими затратами.
Узнать больше о CS-Cart Free вы можете на нашем сайте:
https://cs-cart.ru/shopping-cart/free/",Stepik
Изучение предложений с помощью learningapps,https://stepik.org/course/135642,В данной исследовательской работе хотелось бы разобрать возможности работы на интерактивном сервисе LearningApps.org и показать его влияние на повышение успеваемости на примере предмета «английский язык».,Stepik
Центр компетенции МИФИ по WorldSkills,https://stepik.org/course/105858,"В данном курсе будут представлены основные моменты, необходимые для решения любой задачи из сферы ""Цифровой трансформации"". Предложены варианты решения типовых задач, а также пути для углубления в особенности конкретной задачи под каждой темой.",Stepik
Основы функционального программирования на языке Python,https://stepik.org/course/144533,"В данном курсе будут рассмотрены основы функционального программирования на языке Python. Если вы уже знакомы с азами программирования на Python и желаете продолжить свое обучение, то данный курс отлично вам в этом поможет.",Stepik
"Алгоритмизация и программирование 5-10 классы, Python 3",https://stepik.org/course/63504,В данном курсе будут собраны задачи различного уровня сложности для подготовки и участия в школьных и городских олимпиадах по программированию.,Stepik
Junior специалист по кибербезопасности,https://stepik.org/course/126774,В данном курсе вы научитесь: Работать с ОС Linux и Windows. Разберетесь в сетевых технологиях и попробуете их на практике. Узнаете много нового о различных кибератаках. Научитесь определять кибератаки и строить защиту от них,Stepik
Информационная безопасность,https://stepik.org/course/108078,"В данном курсе вы познакомитесь с основами информационной безопасности, а также будет возможность сделать лабораторные работы.",Stepik
Основы работы в среде ConceptBoard,https://stepik.org/course/58954,"В данном курсе вы познакомитесь с основами работы в среде Conceptboard.
Conceptboard — это онлайн-сервис для совместной работы в командах и проектах, которые направлены на более визуальное видение работы. Здесь можно совместить обсуждение, презентации и задачи, централизуя в одном облаке отзывы, файлы, события, чат и видеоконференции. Conceptboard подойдёт для распределённых команд, работающих над проектами, дизайном с акцентом на изображениях и визуальной коммуникации.",Stepik
Алгоритмы Машинного обучения с нуля,https://stepik.org/course/68260,"В данном курсе Вы реализуете с нуля все основные алгоритмы классического машинного обучения на чистом Python, Pandas и NumPy.",Stepik
Робототехника LEGO BOOST,https://stepik.org/course/60680,"В данном курсе вы сможете познакомиться с историей робототехники, научиться собирать роботов и программировать их на базе приложения LEGO BOOST.",Stepik
Crossfit,https://stepik.org/course/62754,В данном курсе вы узнаете что из себя представляет crossfit.Чем он полезен и чем опасен и как начать кроссфитить и не умереть,Stepik
